Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
33,11439768,llm++,"2024-01-20 13:31:02",0.920,75,"andrewlly,mengtingfeng,photoman,weiqianlin"
34,11251558,"ML@Berkeley NMEP","2024-01-22 14:28:56",0.920,68,"aakarshvermani,lucamanolache,shafinhaque,terrykim1211"
35,11375499,"Etienne Kaiser","2024-01-22 15:46:33",0.920,198,etiennekaiser
36,11478858,Turbo,"2024-01-22 14:56:47",0.920,5,zhoumichael
37,11259135,Ah,"2024-01-20 15:25:17",0.920,172,ahmedelfazouan
38,11165302,aorhan,"2024-01-22 17:38:13",0.920,167,aorhan
39,11323589,xxxxzh,"2024-01-22 16:43:13",0.919,264,"xxxxzh,xzhnoobs"
40,11165900,Kelvin,"2024-01-15 15:46:21",0.919,35,xyzdivergence
41,11427421,Basil,"2024-01-22 13:01:24",0.918,97,basilh
42,11167212,"Jie Wu","2024-01-22 15:35:49",0.918,156,lftuwujie
43,11165497,qhapaq49,"2024-01-22 06:13:59",0.918,166,qhapaq49
44,11410675,"Zaakcii Ru","2024-01-22 21:54:07",0.917,167,zaakciiru
45,11269400,"🃏 Outside your window 🧛🏻‍♂️","2024-01-22 14:09:25",0.917,202,"jingwora1,natnitarach,punpun,teetouchjaknamon"
46,11165258,Ryota,"2024-01-22 16:50:02",0.916,110,ryotak12
47,11484432,SuperFei,"2024-01-22 13:02:59",0.916,68,superfei
48,11378881,"Archiblad Guo","2024-01-19 02:33:14",0.916,41,archibladguo
49,11177071,Fiveneves,"2024-01-21 06:22:40",0.916,79,"fiveneves,lengchangfa,littlemelon722,qingxiaomeng"
50,11432856,"george wuhu","2024-01-22 16:03:40",0.915,25,"georgewuhu,ihavenonames"
51,11435002,"Weili Song","2024-01-20 13:00:35",0.915,112,"abel4260,fanshuozeng,jefferywxj,yccchallenger"
52,11165797,"orange pumpkin","2024-01-22 10:44:25",0.915,192,gealachpumpkin
53,11167352,THe,"2024-01-22 09:43:28",0.915,148,judith007
54,11341325,lixuanzhao,"2024-01-14 14:38:52",0.915,11,lixuanzhao
55,11264322,LLMgogo,"2024-01-21 06:36:29",0.914,59,"luanala,oswald007,silukali"
56,11506235,Devanshs1234,"2024-01-16 05:27:33",0.914,9,devanshs1234
57,11425913,"Junhua Yang","2024-01-22 14:38:27",0.914,165,junhuay
58,11478357,"LB-Oriented Training","2024-01-22 11:05:40",0.914,70,maxreo
59,11165239,yamash,"2024-01-22 13:28:44",0.914,119,yamash73
60,11405765,MORI123,"2024-01-22 11:34:40",0.914,94,mori123
61,11445391,qsvllm,"2024-01-22 11:28:03",0.914,16,qsvwk406
62,11165316,enddl22,"2024-01-22 10:21:18",0.914,47,enddl22
63,11174267,xck,"2024-01-22 15:30:02",0.913,206,mnk812
64,11343681,iam_kg_man,"2024-01-22 16:22:04",0.913,246,iamkgman
65,11480983,"Kohsin Ko","2024-01-22 11:07:44",0.913,70,kohsinko
66,11309284,Cheer,"2024-01-22 15:45:17",0.913,138,cheerfly
67,11166412,星瞳,"2024-01-20 16:24:13",0.913,33,csuer411
68,11233105,CatGPT,"2024-01-22 08:22:04",0.913,156,salbeal94
69,11429599,hllm,"2024-01-20 03:05:17",0.913,237,"azxsd111,nq2169,ray6767,winnie111"
70,11196072,Chai,"2024-01-20 12:02:57",0.913,86,"itsshi,jiew991011,mitsuha86,up4567"
71,11412706,CongGao,"2024-01-22 06:25:36",0.913,86,conggao123
72,11470193,monaou,"2024-01-21 07:08:29",0.913,9,monaou
73,11262427,ishio,"2024-01-22 14:19:24",0.912,201,ishida
74,11436993,Vignesh,"2024-01-22 18:37:08",0.912,29,wickkey2
75,11272811,TeamParkSom,"2024-01-22 13:52:39",0.912,92,"gunparksom,sompark"
76,11223558,AI纪元,"2024-01-22 11:44:38",0.912,153,boristown
77,11360699,"Syed Usman Ahmad","2024-01-22 14:09:21",0.912,178,syedusmanahmad
78,11171445,delai50,"2024-01-17 14:07:30",0.912,125,delai50
79,11470190,LLM-research,"2024-01-22 15:58:12",0.912,42,"panhaowen,wtenta,wxf123456"
80,11471378,Satwik,"2024-01-22 17:58:37",0.911,87,sinhasatwik
81,11470231,FANCYYY,"2024-01-20 13:57:36",0.911,104,"angelafufufu,fancyyy,hwyang1,kaichunqiao,zhongzixuan8642"
82,11166459,Decalogue,"2024-01-22 03:24:30",0.911,189,decalogue
83,11170520,jdonnelly0804,"2024-01-22 20:57:33",0.911,60,jdonnelly0804
84,11337966,"Iron Phoenix","2024-01-20 21:36:44",0.911,16,sviatoslavborodachev
85,11198759,"Phu Gia Hoang","2023-12-18 12:27:37",0.911,22,phuhoang26
86,11302464,"Priyanshu Chaudhary","2024-01-16 17:17:19",0.911,20,chaudharypriyanshu
87,11194760,"abdelwaheb miled","2024-01-22 07:15:28",0.911,321,amiled19
88,11168152,Towhidul.Tonmoy,"2024-01-11 11:13:59",0.911,1,towhidultonmoy
89,11165057,Sandiago,"2024-01-22 09:11:04",0.911,391,sandiago21
90,11259280,Konni,"2024-01-22 12:07:12",0.911,117,khabel
91,11330119,dffdgfsdg,"2024-01-22 13:08:07",0.911,143,dffdgfsdg
92,11440967,sunsulei,"2024-01-22 05:37:11",0.910,103,"amnesia44,lucywin,sunsulei,wanfang,yeye13"
93,11469338,Antelx,"2024-01-15 11:14:35",0.910,42,antelx
94,11469922,potato233,"2024-01-22 13:02:16",0.910,89,potato233
95,11407838,"Code Specialists","2024-01-20 13:52:16",0.910,74,"guoqingyuan,keanehuang,lxysophie,tianjinduan"
96,11279265,MMA,"2024-01-22 06:00:51",0.910,125,m7mdalbaddawi
97,11475421,yagami_ligt,"2024-01-21 09:03:21",0.910,7,yagamiligt
98,11372044,"Bilbo Baggins","2024-01-15 10:33:17",0.910,45,bilbobaggins123
99,11506276,"Alex Tech","2024-01-22 08:20:57",0.910,50,alextech777
100,11183041,Supermellow,"2024-01-18 10:33:36",0.910,49,"supermellowai,teamellow,yoomellow"
101,11402010,"Good Night Makka Pakka","2024-01-21 13:06:18",0.910,129,"cuboorandell,luocongyi,ruixinhan,zhouchucheng"
102,11474401,ChatRobot,"2024-01-21 13:10:10",0.910,146,"buptzq,franklinwang363,mistral7b,wanyingding1223"
103,11426571,"What is LLM?","2024-01-22 05:06:49",0.910,78,"jakelin131,jinghuilou,kayleexu,lizzyshi2003"
104,11283762,crayola,"2024-01-22 14:54:57",0.909,247,crayola
105,11416899,Yurinchi,"2024-01-22 10:13:23",0.909,124,plandic
106,11178335,hikahika,"2024-01-22 13:12:01",0.909,30,naganohikaru
107,11492785,jingy,"2024-01-22 14:13:19",0.909,51,jingyeung
108,11189886,Hiro_Oza,"2024-01-21 22:10:34",0.909,75,ozhiro
109,11187624,yokoponzoo,"2024-01-22 14:46:47",0.909,22,"hiiirooog,yokoponzoo"
110,11503578,godddd,"2024-01-22 13:32:05",0.909,33,godddd
111,11202489,J.M,"2024-01-22 07:52:49",0.909,226,jeamee
112,11483990,CCl1414,"2024-01-22 02:39:43",0.909,98,"ccl1414,docscai,happyaiss"
113,11271186,nishimoto,"2024-01-22 13:43:59",0.909,86,"nishimoto,reiendo73,takafumikubota0"
114,11463200,"master with new friend！","2024-01-22 16:45:31",0.909,133,"futuredsli,minar44"
115,11167229,Y.L.,"2024-01-22 13:22:19",0.909,40,likedl88
116,11253469,onetthree,"2023-12-09 15:36:48",0.909,22,ryosukemitani
117,11399463,"trio kwek kwek","2023-12-19 04:16:13",0.909,13,"nikenayu,nikenputriramadhani,putuswamiindiradewi"
118,11446199,ThomasG,"2024-01-22 13:31:49",0.909,103,thomasgamet
119,11480383,startalks,"2024-01-22 10:25:18",0.909,51,startalks
120,11494679,GES,"2024-01-22 12:24:55",0.909,63,msjkaggle
121,11396147,"ALEX Wang","2024-01-22 23:00:44",0.908,142,peizhengwang
122,11230866,"kumi cho","2024-01-07 10:21:29",0.908,7,kumicho
123,11367460,Youjch,"2024-01-22 23:55:28",0.908,4,youjch
124,11512556,"Shpagin Fedor P.","2024-01-19 06:34:27",0.908,5,shpaginfedorp
125,11435157,EvanNie006,"2024-01-20 12:30:22",0.908,111,"beeeeella,evannie006,wangziying1013,yanghong0707,zinuwill"
126,11507378,"Alex Roubinchtein","2024-01-22 03:57:11",0.908,39,alexroubinchtein
127,11165368,Avengers,"2024-01-22 06:32:29",0.908,220,"lizhecheng,rdxsun,tonyarobertson,xuanmingzhang777"
128,11481185,"Oleg Shpagin","2024-01-22 05:45:05",0.908,59,olegshpagin
129,11224980,"Guillermo Perez G","2024-01-22 00:04:20",0.908,364,guillermoperezg
130,11170204,iws,"2024-01-18 15:22:48",0.908,93,tkyiws
131,11221655,its_dvirani,"2024-01-22 16:57:57",0.908,48,"garvg1,itsdvirani,smitshahiitmandi,toshangupta,yashsshrivastava"
132,11322549,Daisy,"2024-01-22 16:11:59",0.908,23,hdynamics
133,11174202,coder,"2024-01-22 12:39:33",0.908,142,mlerxue
134,11248652,"Bohdan Zhurakovskyi","2024-01-22 18:56:25",0.908,268,"bohdan,kulishyurii"
135,11396827,"Allie K.","2024-01-22 16:10:19",0.908,116,blankaf
136,11185233,"detect or correct :)","2024-01-22 17:13:42",0.908,413,"alejopaullier,gauravbrills,ravi20076,treesky,yeoyunsianggeremie"
137,11463142,Heisaii,"2024-01-22 13:39:37",0.908,98,"fengff1292,guofaye,huiyou99"
138,11382739,"Sems Kurtoglu","2024-01-22 22:59:38",0.908,7,shemskurtoglu
139,11458702,"Haobin & Ziyu","2024-01-21 06:49:09",0.908,67,"haobinmao,yugew11"
140,11166209,Xriver,"2024-01-15 10:49:48",0.908,19,xriver
141,11323836,Yanshu,"2024-01-05 04:05:46",0.908,21,yanxiaoshu22
142,11204824,"Chris Vezalis","2024-01-22 15:07:47",0.907,126,cvezalis
143,11473206,深度学习小分队,"2024-01-22 08:12:21",0.907,26,gggxxl520
144,11260296,bri,"2024-01-22 23:38:09",0.907,296,victorogobi
145,11273594,"Nguyen Dinh Quy","2023-12-25 14:42:20",0.907,46,phamdinhduong
146,11430025,hongmiss,"2024-01-22 15:50:39",0.907,158,hongmiss
147,11211087,wjkim1,"2024-01-21 12:08:59",0.907,12,wjkim1
148,11312256,eulyzi,"2024-01-22 02:04:40",0.907,90,eulyzi
149,11356517,xc-ant,"2024-01-22 14:17:15",0.907,52,albert2017
150,11398557,Capybara_LLM,"2024-01-21 05:04:29",0.907,75,"leixu813,tontonthewonton,zskagcomp"
151,11408365,ZhangZ0703,"2024-01-22 06:38:07",0.907,38,zhangz0703
152,11170451,"AYAHM BARISH","2024-01-21 09:58:57",0.907,10,ayhampar
153,11394244,"Benz Nguyen","2024-01-18 08:48:10",0.907,3,ducnguyenvan
154,11257622,recha_wine,"2024-01-18 13:47:36",0.907,5,rechawine
155,11465423,LEON666,"2024-01-19 00:48:06",0.907,10,leonljl
156,11169538,Rihiko,"2024-01-22 15:48:38",0.907,337,rihiko
157,11439442,"tarukon HASE","2024-01-21 10:08:08",0.907,71,tarukon5
158,11265210,"Jaani Dushman 4.0","2024-01-22 07:56:41",0.907,38,"devanshsehgal,keval710,namansinghania,sujalarora19,tmmittal"
159,11327041,qianmulin,"2024-01-22 15:07:28",0.907,49,qianmulin
160,11429344,nikotin55,"2024-01-22 14:39:31",0.907,13,nikotin55
161,11504858," Formerly1","2024-01-22 12:55:05",0.907,67,"cjzmfeng,emilydu,formerly1,soonandsoon,zhaowenhui"
162,11513692,"Alwo Pro","2024-01-22 08:20:38",0.907,37,alwopro
163,11481814,🤗konita🤗,"2024-01-21 04:44:19",0.907,68,konitac
164,11171424,"Glen Koundry","2024-01-22 02:06:47",0.907,88,gkoundry
165,11473610,machengyuan,"2024-01-21 06:13:31",0.907,3,"machengyuan,xinyuduu"
166,11203750,嗯对对队,"2024-01-22 13:32:10",0.906,27,"davenfuual,followmyheart,luozij,smithzhou,weichunyu00"
167,11336765,"ma 127","2024-01-22 12:49:33",0.906,116,ma1166mu
168,11482890,"Friedrich Gauss3","2024-01-18 12:15:56",0.906,38,friedrichgauss3
169,11482146,"Gao Jingchun","2024-01-22 12:44:41",0.906,9,gaojingchun
170,11495815,M.D,"2024-01-22 08:00:54",0.906,128,"lyzltyskaggle,supersmodels,xhdr618,yingfengyu"
171,11369102,"C R Suthikshn Kumar","2024-01-22 16:20:48",0.906,55,crsuthikshnkumar
172,11177856,CPMP,"2024-01-22 21:29:50",0.906,303,cpmpml
173,11209899,mihtw,"2024-01-21 21:05:20",0.906,39,mihtw1
174,11410066,Za3boulaML,"2024-01-18 20:48:37",0.906,81,mouadberqia
175,11430924,Sihead,"2024-01-16 03:20:44",0.906,63,sihead
176,11167765,"Pamin Rangsikunpum","2024-01-21 14:30:20",0.906,156,pamin2222
177,11166898,steubk,"2023-12-16 09:14:16",0.906,112,steubk
178,11474590,tanxxx,"2024-01-22 14:34:11",0.906,46,tanxxx
179,11266446,"Vladimir Sveshnikov","2024-01-22 15:13:59",0.906,36,vladimirsvsv77
180,11493533,liuyapeng,"2024-01-22 15:57:13",0.906,48,liuyapeng99
181,11475199,Nagisa,"2024-01-22 14:45:38",0.906,58,linzihaochamp
182,11454176,Gappy,"2024-01-22 12:26:41",0.906,35,takahirohigasa
183,11424745,"Make China Great Again","2024-01-22 15:28:32",0.906,146,"ewaewaii,husen1111,raichucy,vuvu5489,xizhezhang1"
184,11282788,esprit,"2024-01-22 09:52:04",0.906,10,takuji
185,11173085,"You Xuan Lim","2024-01-22 16:58:57",0.906,24,youxuanlim
186,11484845,"Lv xufei","2024-01-22 20:14:54",0.906,8,lvxufei
187,11165743,panda,"2024-01-21 23:01:28",0.906,15,kojimar
188,11507184,"Bruce Wayne","2024-01-22 02:15:41",0.906,4,daaadaaa
189,11166214,"TaeHun Kim","2024-01-22 06:09:39",0.906,2,mintgox
190,11240389,JJChen20220823,"2024-01-22 06:31:30",0.906,8,jjchen20220823
191,11176629,"Murat Cihan Sorkun","2024-01-22 18:38:54",0.905,314,sorkun
192,11258832,LLM+,"2024-01-21 14:19:32",0.905,64,"cenlang,mfarmer188,qingyanzhang"
193,11388192,"wassim labiedh","2023-12-16 14:37:11",0.905,9,wlabiedh
194,11232354,"找不到工作呜呜呜呜 joblessness sobbbb🤧","2024-01-22 13:28:49",0.905,193,"bxy0125,leizhengxin,pamilovedl,rainchy,returnsleep"
195,11175641,Kurokawa,"2024-01-20 10:36:03",0.905,55,mkurokawa
196,11301356,SJOON_PARK,"2023-12-12 04:59:36",0.905,14,sjoonpark
197,11271138,demianmian,"2023-12-11 07:38:51",0.905,9,demianmian
198,11505977,KentaTanaka,"2024-01-22 10:58:43",0.905,29,kentatanaka1data
199,11213075,"Marek Nurzynski","2024-01-21 11:01:57",0.905,39,marek3000
200,11276282,CaspianZero,"2024-01-22 09:37:30",0.905,207,"avaritiaken,caspianzero,yujieliu0925,yuxuanzhu7,zhangqicheng"
201,11469867,不知道取什么名字,"2024-01-22 15:23:08",0.905,28,"tinaxu001,zhujiayingbfhsjjsj"
202,11167512,"Kishore M","2024-01-19 14:13:27",0.905,7,reachkishore
203,11297232,"Nat Bel ML Fun","2024-01-22 06:38:01",0.905,27,natbel4ml
204,11457473,"Shengtao Bian","2024-01-21 18:06:04",0.905,79,"jph19970612,shengtaobian"
205,11477888,"Writing essay","2024-01-22 08:41:51",0.905,121,"arielfeng,chitra077,finetuning,shanshanhemasao"
206,11177932,"tom c tea","2024-01-21 01:59:18",0.905,184,tomctea
207,11438193,飞鸿踏雪,"2024-01-06 05:59:24",0.905,25,bitlcc
208,11439687,"lang lang model","2024-01-21 03:57:40",0.905,134,"gwenshaw,modely,zhoumi1008,ztx1233"
209,11190455,JkimIsCoding,"2024-01-21 22:24:09",0.905,140,jkimiscoding
210,11440918,Maksim_AZ,"2024-01-22 10:13:54",0.905,128,maksimaz
211,11168472,"Damien Mourot","2024-01-22 21:26:38",0.905,241,nahman
212,11277663,Kagggggllllle,"2024-01-22 15:31:06",0.905,19,kagggggllllle
213,11477991,CompAgents,"2024-01-21 06:32:35",0.905,114,"aiagents,issaccheby,jiesongba1,willang35"
214,11185160,MiHu,"2024-01-22 11:58:30",0.905,54,chenboluo
215,11210896,"Ahmed Khaled","2024-01-22 08:55:29",0.905,76,kickitlikeshika
216,11438057,SynthSleuths,"2024-01-21 06:36:11",0.905,42,"felicityzhu,seangxy,stevens1005"
217,11478076,"GBM or NN?","2024-01-22 08:23:45",0.905,115,"cyrevelyn,dltech,oasisfang,rumoa77"
218,11501500,"Truong Cam Luan","2024-01-22 02:57:31",0.905,55,luantruong
219,11487932,cccchl,"2024-01-18 10:39:17",0.905,16,cccchl
220,11441505,JongwonLim,"2024-01-19 14:49:52",0.904,38,"dontlaughmbk,jongwonlim"
221,11513397,Celtoy,"2024-01-22 19:54:31",0.904,7,celtoy
222,11212356,maatkara,"2024-01-22 18:20:38",0.904,200,maatkara
223,11395376,fanchuan,"2024-01-22 06:01:13",0.904,174,fanchuan
224,11422080,rucz,"2024-01-22 15:57:25",0.904,39,"daniilpastukhov,neartemsavchenko,yourwifeisdead"
225,11167613,keifuku,"2024-01-20 10:32:20",0.904,18,"takumatoda,today55"
226,11329685,积阳德,"2024-01-21 16:56:45",0.904,128,bianshengtao
227,11428271,nmdcddwzml,"2024-01-22 09:45:15",0.904,4,mujian63
228,11283140,zichen998,"2024-01-22 08:07:11",0.904,65,zichen998
229,11467006,PioneerAI,"2024-01-22 07:40:41",0.904,107,"llmgen,sethsiu,tysoncao,zhibowangligan"
230,11164438,bba,"2024-01-22 12:10:51",0.904,63,bibanh
231,11165113,MA,"2024-01-22 11:54:08",0.904,160,mathurinache
232,11349381,"Max Verstappen1","2024-01-22 03:48:08",0.904,25,maxverstappen
233,11463330,3YSN,"2024-01-22 07:11:39",0.904,153,"nanjiangchen,naturemethods,sodaxie,yingxu2021,zhuanjian"
234,11196342,gvjoojvv,"2024-01-22 12:48:19",0.904,262,yang123p
235,11186678,"Just A game on your lips","2024-01-01 22:49:04",0.904,2,proptiter
236,11299558,LiWinWin,"2024-01-22 15:23:03",0.904,153,"liwinwin,xuxiaoning"
237,11223984,Raosaheb,"2023-12-18 16:06:19",0.904,19,raosahebmore
238,11466648,旦DDDANNN,"2024-01-21 06:12:59",0.904,24,dddannn
239,11389565,FanDouHuaYuan,"2024-01-22 06:06:30",0.904,173,"lczx666,zhuyilin21"
240,11444006,"Sun And Ray","2024-01-22 10:48:45",0.904,67,sunandray
241,11452454,4fun,"2024-01-16 05:47:45",0.904,32,randr12
242,11398288,"Hotson Honet","2024-01-16 14:58:41",0.904,4,hotsonhonet
243,11511301,Shuhan.Chen21,"2024-01-15 05:03:31",0.904,5,shuhanchen21
244,11471750,zby,"2024-01-22 16:19:39",0.904,64,"dadwdw,herminw,koalas,strongfish,yangbc"
245,11444652,"gougou yan","2023-12-30 15:12:16",0.904,5,"gougouli,gougouyan,iahxxx"
246,11495169,Wentap,"2024-01-22 12:27:12",0.903,45,wentap
247,11429224,Taras,"2024-01-22 13:48:56",0.903,98,tarasshavkoniuk
248,11477844,StableLLM,"2024-01-22 06:02:32",0.903,118,"mameng3,moncler,yebocao,zhenghejie"
249,11465482,LLMfans,"2024-01-20 23:39:34",0.903,117,"anchengwang,heyanglong,julianhe123,sichengliu1,weixiaochen358"
250,11164501,tarick.morty,"2024-01-21 16:08:52",0.903,11,tarique7
251,11452891,Kirderf,"2024-01-22 14:11:38",0.903,64,kirderf
252,11402100,"mirosia koval","2023-12-17 05:21:19",0.903,10,mirosiakoval
253,11501783,huoxu,"2024-01-22 09:50:15",0.903,41,tanyong666
254,11176764,"zulqarnain ali","2024-01-15 18:34:12",0.903,21,zulqarnainali
255,11489596,poopoo,"2024-01-15 05:42:45",0.903,6,anubhabkhanra
256,11497464,diver816,"2024-01-19 12:44:15",0.903,2,diver816
257,11437027,siddharth,"2024-01-11 04:36:26",0.903,1,sid00733
258,11493908,VK,"2024-01-16 07:59:49",0.903,14,venkatkumar001
259,11441071,Gadzz,"2024-01-11 09:13:43",0.903,3,christopherrichardc
260,11471619,map1000da,"2024-01-11 09:20:22",0.903,2,map1000da
261,11374694,"Beksultan Sagyndyk","2024-01-15 13:46:50",0.903,4,sagyndykbn
262,11494633,gomerry,"2024-01-22 16:41:18",0.903,8,shwsun73
263,11346321,mrmldjr,"2024-01-22 14:35:41",0.903,77,mrmldjr
264,11203251,"Evgenyii Nikolaev","2024-01-21 13:43:16",0.903,214,evgeny000
265,11171394,"Augustine Williams223","2024-01-11 11:12:36",0.903,3,augustinewilliams223
266,11205379,kfk111,"2024-01-22 14:35:48",0.903,64,kfk111
267,11221467,Hayate,"2024-01-19 15:46:14",0.903,26,guanxiaolong
268,11168764,"Izzan S. A.","2024-01-17 12:41:48",0.903,19,isamobagaming
269,11413775,"Yuan Weijun","2024-01-19 15:55:34",0.903,42,yuanweijun
270,11492520,YAMALEX_sasaki,"2024-01-22 05:21:49",0.903,12,takashi1029
271,11200424,ZHR,"2024-01-19 02:20:58",0.903,51,zhrthegreat
272,11452823,"Nishant Kandoi","2024-01-17 00:54:20",0.903,11,stacknishant
273,11451522,balala,"2024-01-17 16:31:51",0.903,28,balala121
274,11364562,Seawolf,"2024-01-12 11:47:43",0.903,74,xiwuhan
275,11460204,Izotov,"2024-01-19 21:43:51",0.903,10,izotov
276,11475697,"Hussien Dawood","2024-01-21 18:14:03",0.903,10,hussiendaoud
277,11492045,"kasper tridt","2024-01-14 18:27:28",0.903,28,kaspertridt
278,11208954,BrownMar,"2024-01-13 03:33:37",0.903,29,"brownmar,krisfalmighty,potterhan,xiaoyuguoshawn,yilinl1u"
279,11175614,sowrdsman,"2024-01-17 09:39:16",0.903,19,liuyanfeng
280,11312620,Skyroot,"2024-01-16 12:02:55",0.903,15,litterboy
281,11323788,Scbtm,"2024-01-22 19:36:17",0.903,9,santiagocabellotueme
282,11420246,XXX.ailab,"2024-01-19 03:00:40",0.903,5,distiller
283,11187038,"Andy Penrose","2024-01-15 21:46:52",0.903,15,andypenrose
284,11213572,"Christoph Scheyk","2024-01-20 21:30:28",0.903,12,scheyk
285,11503968,Manchester.U.,"2024-01-14 15:03:57",0.903,6,manchesteru
286,11176778,"Akira Hirohashi","2024-01-19 03:36:56",0.903,31,akirahirohashi
287,11492910,"LAUVF PITIPAK","2024-01-14 09:36:41",0.903,4,lauvfpitipak
288,11166658,dal_lab,"2024-01-21 14:17:21",0.903,61,"k12hirano,rikitomo0526,tomoyamiyazawa26"
289,11258390,超级战神胡哥,"2024-01-16 12:31:18",0.903,40,"hlonely,lhn712836"
290,11298646,kevinvonkampl,"2024-01-20 19:15:26",0.903,27,kevinvonkampl
291,11177495,MICADEE,"2024-01-22 15:31:00",0.903,20,adegladius
292,11277720,fifi_not_coding,"2024-01-15 13:41:19",0.903,8,fifinotcoding
293,11424230,"王釗遠Seeking QUANT Intern:))","2024-01-15 15:20:09",0.903,3,zhaoyuanwang
294,11268672,Stem,"2024-01-15 16:27:07",0.903,33,stemnguyen
295,11168178,"chen miller","2024-01-16 09:07:13",0.903,13,chenmiller
296,11320376,takumi71,"2024-01-16 04:50:21",0.903,2,takumi71
297,11509753,DonaldkCullina,"2024-01-22 11:28:31",0.903,11,donaldkcullina
298,11429889,louhergetup,"2024-01-22 12:28:59",0.903,39,"louhergetup,yueliu0806,yuhanqing"
299,11166104,kglctf,"2024-01-22 14:07:15",0.903,138,kglctf
300,11182655,QurusX,"2024-01-22 18:03:24",0.903,134,qurusx
301,11190090,Llu,"2024-01-22 02:15:57",0.903,129,lluang
302,11169260,"""compleX""[::-1]","2024-01-22 09:03:22",0.903,77,"aravind36,rishavdash,sambitmukherjee,wasimmadha"
303,11287449,JuniperSky,"2024-01-21 23:43:50",0.903,45,junipersky
304,11260173,"Oriol Graupera Serra","2024-01-22 19:38:13",0.903,95,"origraupera,oriolgraupera,shawazz,shazimov"
305,11289523,qinmei,"2024-01-21 11:37:42",0.903,62,"qinmei,tdreams"
306,11388309,Onewo,"2024-01-22 05:33:52",0.903,66,"arancia111,changyuanzhou,guoguo121,smilelvqx,zeki88"
307,11165327,"Chirag Desai","2024-01-22 03:51:06",0.903,17,cid007
308,11492400,kitsune,"2024-01-22 02:54:39",0.903,39,yutake
309,11460217,"Two Hundred Small Cute","2024-01-22 13:57:55",0.903,104,darksosol11
310,11462723,LesliezHelstromi,"2024-01-16 10:21:28",0.903,5,lesliezhelstromi
311,11193876,"Day Day Up","2024-01-22 13:05:40",0.903,141,"dylanzhao2012,hustzx"
312,11507270,"Vipin Kumar #2","2024-01-22 16:24:06",0.903,12,vipin20
